used,len_groups,len_unique,new_size,entropy_full,entropy_cut
"['education', 'gender', 'disease']",96,0,2000,6.3463,6.3463
"['gender', 'marital_status', 'disease']",96,0,2000,6.0958,6.0958
"['commute_time', 'accommodation', 'disease']",78,0,2000,5.9246,5.9246
"['gender', 'commute_time', 'disease']",72,0,2000,5.9184,5.9184
"['gender', 'accommodation', 'disease']",48,0,2000,5.4744,5.4744
"['education', 'disease']",52,0,2000,5.4368,5.4368
"['marital_status', 'disease']",52,0,2000,5.1857,5.1857
"['commute_time', 'disease']",39,0,2000,4.9986,4.9986
"['gender', 'children', 'disease']",48,0,2000,4.9911,4.9911
"['accommodation', 'disease']",26,0,2000,4.5528,4.5528
"['gender', 'disease']",24,0,2000,4.5362,4.5362
"['children', 'disease']",26,0,2000,4.0673,4.0673
"['gender', 'employment', 'disease']",96,1,1999,6.0804,6.0772
"['number_vehicles', 'disease']",49,1,1999,5.2382,5.2346
"['employment', 'disease']",52,1,1999,5.1655,5.1618
"['children', 'accommodation', 'disease']",50,1,1999,4.9976,4.9939
"['employment', 'accommodation', 'disease']",102,2,1998,6.0337,6.0274
"['gender', 'commute_time', 'accommodation', 'disease']",144,3,1997,6.834,6.8256
"['education', 'accommodation', 'disease']",102,3,1997,6.2962,6.287
"['marital_status', 'accommodation', 'disease']",104,3,1997,6.1097,6.1002
"['gender', 'children', 'accommodation', 'disease']",93,3,1997,5.9148,5.905
"['gender', 'number_vehicles', 'disease']",87,5,1995,6.1452,6.1295
"['children', 'commute_time', 'disease']",76,5,1995,5.4374,5.42
"['education', 'number_vehicles', 'disease']",155,6,1994,6.8826,6.8659
"['education', 'commute_time', 'disease']",153,7,1993,6.7753,6.7555
"['children', 'number_vehicles', 'disease']",90,8,1992,5.6802,5.6532
"['number_vehicles', 'accommodation', 'disease']",94,9,1991,5.9044,5.8751
"['employment', 'commute_time', 'disease']",95,9,1991,5.856,5.8264
"['education', 'children', 'disease']",99,10,1990,5.871,5.8382
"['children', 'employment', 'disease']",97,10,1990,5.553,5.5185
"['gender', 'children', 'commute_time', 'disease']",135,11,1989,6.3445,6.311
"['gender', 'marital_status', 'accommodation', 'disease']",192,12,1988,7.0071,6.9745
"['number_vehicles', 'commute_time', 'disease']",134,12,1988,6.5857,6.5506
"['education', 'gender', 'accommodation', 'disease']",186,13,1987,7.1946,7.1605
"['gender', 'employment', 'accommodation', 'disease']",183,15,1985,6.9297,6.8884
"['gender', 'employment', 'commute_time', 'disease']",167,15,1985,6.7542,6.7116
"['employment', 'number_vehicles', 'disease']",165,15,1985,6.7481,6.7054
"['marital_status', 'commute_time', 'disease']",147,15,1985,6.5149,6.4704
"['children', 'marital_status', 'disease']",93,15,1985,5.4185,5.3657
"['education', 'marital_status', 'disease']",198,16,1984,6.9595,6.9156
"['children', 'commute_time', 'accommodation', 'disease']",140,16,1984,6.3409,6.2921
"['gender', 'number_vehicles', 'accommodation', 'disease']",162,17,1983,6.7947,6.7466
"['marital_status', 'number_vehicles', 'disease']",173,20,1980,6.7646,6.7077
"['employment', 'commute_time', 'accommodation', 'disease']",177,24,1976,6.6991,6.6299
"['gender', 'children', 'number_vehicles', 'disease']",156,24,1976,6.5754,6.5047
"['education', 'employment', 'disease']",182,25,1975,6.9011,6.8315
"['gender', 'children', 'marital_status', 'disease']",151,25,1975,6.3078,6.2307
"['gender', 'number_vehicles', 'commute_time', 'disease']",234,26,1974,7.4661,7.4011
"['employment', 'marital_status', 'disease']",181,26,1974,6.6125,6.5363
"['education', 'gender', 'number_vehicles', 'disease']",277,27,1973,7.7541,7.6905
"['education', 'gender', 'commute_time', 'disease']",274,27,1973,7.6492,7.5842
"['education', 'gender', 'children', 'disease']",172,27,1973,6.7685,6.6914
"['education', 'children', 'accommodation', 'disease']",171,30,1970,6.7051,6.6184
"['children', 'employment', 'commute_time', 'disease']",159,32,1968,6.2224,6.122
"['education', 'commute_time', 'accommodation', 'disease']",271,34,1966,7.5858,7.5026
"['gender', 'marital_status', 'commute_time', 'disease']",255,34,1966,7.3892,7.3026
"['children', 'marital_status', 'accommodation', 'disease']",162,34,1966,6.3228,6.2178
"['children', 'number_vehicles', 'accommodation', 'disease']",156,34,1966,6.322,6.2169
"['gender', 'children', 'employment', 'disease']",174,37,1963,6.4565,6.3445
"['children', 'employment', 'accommodation', 'disease']",173,38,1962,6.4033,6.2872
"['gender', 'marital_status', 'number_vehicles', 'disease']",292,39,1961,7.6276,7.5328
"['number_vehicles', 'commute_time', 'accommodation', 'disease']",234,44,1956,7.22,7.1037
"['education', 'number_vehicles', 'accommodation', 'disease']",261,46,1954,7.4812,7.3656
"['gender', 'children', 'commute_time', 'accommodation', 'disease']",240,46,1954,7.2221,7.1004
"['marital_status', 'commute_time', 'accommodation', 'disease']",270,49,1951,7.3987,7.2733
"['education', 'children', 'commute_time', 'disease']",242,49,1951,7.1576,7.0262
"['children', 'number_vehicles', 'commute_time', 'disease']",219,49,1951,6.983,6.8471
"['education', 'children', 'number_vehicles', 'disease']",245,50,1950,7.2736,7.1424
"['gender', 'employment', 'number_vehicles', 'disease']",286,52,1948,7.6136,7.4861
"['employment', 'number_vehicles', 'commute_time', 'disease']",265,52,1948,7.3818,7.2481
"['gender', 'employment', 'commute_time', 'accommodation', 'disease']",300,54,1946,7.5683,7.4345
"['education', 'gender', 'employment', 'disease']",307,55,1945,7.754,7.6229
"['gender', 'children', 'marital_status', 'accommodation', 'disease']",262,58,1942,7.1916,7.0364
"['education', 'gender', 'marital_status', 'disease']",338,59,1941,7.811,7.6719
"['marital_status', 'number_vehicles', 'accommodation', 'disease']",278,59,1941,7.3727,7.2203
"['children', 'marital_status', 'commute_time', 'disease']",213,60,1940,6.71,6.5344
"['gender', 'children', 'number_vehicles', 'accommodation', 'disease']",251,61,1939,7.1849,7.0213
"['education', 'employment', 'commute_time', 'disease']",290,62,1938,7.5355,7.3804
"['education', 'children', 'employment', 'disease']",264,67,1933,7.2215,7.0426
"['education', 'gender', 'children', 'accommodation', 'disease']",289,69,1931,7.5802,7.4085
"['gender', 'employment', 'marital_status', 'disease']",305,69,1931,7.4719,7.2964
"['children', 'employment', 'number_vehicles', 'disease']",257,71,1929,7.0894,6.8946
"['children', 'marital_status', 'number_vehicles', 'disease']",242,71,1929,6.954,6.7542
"['education', 'marital_status', 'accommodation', 'disease']",342,73,1927,7.7639,7.589
"['employment', 'marital_status', 'accommodation', 'disease']",310,73,1927,7.4281,7.2405
"['gender', 'children', 'employment', 'commute_time', 'disease']",262,73,1927,7.0972,6.897
"['children', 'employment', 'marital_status', 'disease']",245,73,1927,6.7809,6.5687
"['education', 'children', 'marital_status', 'disease']",274,75,1925,7.1488,6.945
"['children', 'employment', 'commute_time', 'accommodation', 'disease']",263,75,1925,7.0385,6.8303
"['education', 'number_vehicles', 'commute_time', 'disease']",392,76,1924,8.1299,7.962
"['education', 'employment', 'accommodation', 'disease']",311,76,1924,7.6549,7.4682
"['employment', 'number_vehicles', 'accommodation', 'disease']",275,76,1924,7.2437,7.0407
"['gender', 'children', 'employment', 'accommodation', 'disease']",280,77,1923,7.2691,7.0644
"['employment', 'marital_status', 'commute_time', 'disease']",284,81,1919,7.2583,7.0422
"['gender', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",385,86,1914,8.0614,7.8675
